cohort_id,condition,module,week,rho,lo,hi,n,indicator
STAT0002_2021,online,STAT0002,7,0.2704262986420213,0.1630164659927846,0.3715011213374768,342,IDF
STAT0002_2021,online,STAT0002,8,0.2636617750267805,0.15591772979562749,0.3652054836118966,342,IDF
STAT0002_2021,online,STAT0002,9,0.2623131601918736,0.15450381373903782,0.36394923715420013,342,IDF
STAT0002_2021,online,STAT0002,10,0.2694354244790367,0.16197594039165564,0.37057951073485895,342,IDF
STAT0002_2021,online,STAT0002,11,0.27584400737542153,0.16870987694541953,0.37653660482033346,342,IDF
STAT0002_2223,in_person,STAT0002,1,0.2440286796471754,0.12059621976592413,0.36003044937489403,267,IDF
STAT0002_2223,in_person,STAT0002,2,0.3175327296418066,0.19836819686017595,0.42744656200490655,267,IDF
STAT0002_2223,in_person,STAT0002,3,0.32832989026470194,0.20992009677420811,0.4372475394344404,267,IDF
STAT0002_2223,in_person,STAT0002,4,0.3115125213743754,0.1919415101488336,0.4219705564895408,267,IDF
STAT0002_2223,in_person,STAT0002,5,0.342013901202454,0.22460829716008807,0.449631955459861,267,IDF
STAT0002_2223,in_person,STAT0002,6,0.34863745425069287,0.2317371272788264,0.45561163364493334,267,IDF
STAT0002_2223,in_person,STAT0002,7,0.3595345418827397,0.2434928833150372,0.46542845460926446,267,IDF
STAT0002_2223,in_person,STAT0002,8,0.38396716846102324,0.2699752586058122,0.48734469854008783,267,IDF
STAT0002_2223,in_person,STAT0002,9,0.4016722170288598,0.2892740277849364,0.5031452851407214,267,IDF
STAT0002_2223,in_person,STAT0002,10,0.40001096990511054,0.28745935073834017,0.5016656103173976,267,IDF
STAT0002_2223,in_person,STAT0002,11,0.40924428859614254,0.2975556887902358,0.509882210579785,267,IDF
STAT0004_2021,online,STAT0004,1,0.21720660364478814,0.10217419208734363,0.326506671483969,312,IDF
STAT0004_2021,online,STAT0004,2,0.23395585130001897,0.11960450775904816,0.34218114493845275,312,IDF
STAT0004_2021,online,STAT0004,3,0.2521375850735224,0.13860568909012225,0.3591282767933504,312,IDF
STAT0004_2021,online,STAT0004,4,0.2686526944909581,0.15593788131461753,0.37446104417107134,312,IDF
STAT0004_2021,online,STAT0004,5,0.28730659898648653,0.1755985156747054,0.3917101764001746,312,IDF
STAT0004_2021,online,STAT0004,6,0.2840079234443736,0.17211531684823536,0.38866524665382635,312,IDF
STAT0004_2021,online,STAT0004,7,0.2729192212327362,0.1604268039786885,0.3784127408454776,312,IDF
STAT0004_2021,online,STAT0004,8,0.26154642634399766,0.14847151445334344,0.36787060938736416,312,IDF
STAT0004_2021,online,STAT0004,9,0.2658463408899691,0.15298778055501516,0.3718596762119294,312,IDF
STAT0004_2021,online,STAT0004,10,0.28851349896173756,0.17687362717843955,0.3928236662346911,312,IDF
STAT0004_2021,online,STAT0004,11,0.29775243779667243,0.18664716269907625,0.40133742085167684,312,IDF
STAT0004_2122,hybrid,STAT0004,1,0.24930113047702346,0.09456866620191033,0.39227239692335386,172,IDF
STAT0004_2122,hybrid,STAT0004,2,0.23672970757880893,0.08131151441901993,0.3809087475674041,172,IDF
STAT0004_2122,hybrid,STAT0004,3,0.18038565044451851,0.02256206696455474,0.32943707408609996,172,IDF
STAT0004_2122,hybrid,STAT0004,4,0.2071160890523353,0.050298422510704995,0.3539669352650155,172,IDF
STAT0004_2122,hybrid,STAT0004,5,0.22749056047750998,0.07160333728008914,0.37252937161703176,172,IDF
STAT0004_2122,hybrid,STAT0004,6,0.19920945455147898,0.04206897575345645,0.34673219402731414,172,IDF
STAT0004_2122,hybrid,STAT0004,7,0.21544488241244697,0.05899035564848437,0.3615690008838642,172,IDF
STAT0004_2122,hybrid,STAT0004,8,0.2289822670611913,0.07316877427629934,0.37388386666092216,172,IDF
STAT0004_2122,hybrid,STAT0004,9,0.21223034316571546,0.055632847369777694,0.35863724635456273,172,IDF
STAT0004_2122,hybrid,STAT0004,10,0.23107065627834514,0.07536167670326914,0.3757791218961731,172,IDF
STAT0004_2122,hybrid,STAT0004,11,0.2319751139460792,0.07631186547211688,0.3765995599425494,172,IDF
STAT0004_2223,in_person,STAT0004,1,0.09903245908327052,-0.049763718272063835,0.24352798669431508,197,IDF
STAT0004_2223,in_person,STAT0004,2,0.16732473956007307,0.019747515181115997,0.30776624687108173,197,IDF
STAT0004_2223,in_person,STAT0004,3,0.2156846587300213,0.0698488558029366,0.3524940005391423,197,IDF
STAT0004_2223,in_person,STAT0004,4,0.1821869052771621,0.03506637513214403,0.3215785482400881,197,IDF
STAT0004_2223,in_person,STAT0004,5,0.17343536015854458,0.026037530245591578,0.31345238745431847,197,IDF
STAT0004_2223,in_person,STAT0004,6,0.15870190517586977,0.010891362406492893,0.29972530342221076,197,IDF
STAT0004_2223,in_person,STAT0004,7,0.16720387704117184,0.019623222107407957,0.3076536789178306,197,IDF
STAT0004_2223,in_person,STAT0004,8,0.1615578708010737,0.013822039305355839,0.3023907621339107,197,IDF
STAT0004_2223,in_person,STAT0004,9,0.16604861971764887,0.01843540416689799,0.30657750628797603,197,IDF
STAT0004_2223,in_person,STAT0004,10,0.16503227580870708,0.0173907593016979,0.30563044040424026,197,IDF
STAT0004_2223,in_person,STAT0004,11,0.1943791080767068,0.04768506047969264,0.33286537286145373,197,IDF
